Statistical profiling result from isolate-0x55af5fde7000-v8.log, (395389 ticks, 21866 unaccounted, 0 excluded).

 [Shared libraries]:
   ticks  total  nonlib   name
  272146   68.8%          /usr/local/bin/node
  22405    5.7%          /lib/ld-musl-x86_64.so.1
   1532    0.4%          /usr/lib/libstdc++.so.6.0.21
     31    0.0%          [vdso]

 [JavaScript]:
   ticks  total  nonlib   name
  12156    3.1%   12.2%  KeyedLoadIC: A keyed load IC from the snapshot
   5948    1.5%    6.0%  LazyCompile: *InternalizeJSONProperty native json.js:32:33
   4767    1.2%    4.8%  LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:611:26
   3635    0.9%    3.7%  LazyCompile: *_shellInsertionSort /home/root/node_modules/nosql/utils.js:768:29
   3605    0.9%    3.6%  LazyCompile: *CreateDataProperty native json.js:28:28
   2975    0.8%    3.0%  LazyCompile: ~<anonymous> /home/root/node_modules/nosql/index.js:713:62
   2648    0.7%    2.7%  LazyCompile: *<anonymous> /home/root/node_modules/nosql/utils.js:174:18
   2624    0.7%    2.6%  Stub: LoadFieldStub {3}
   2456    0.6%    2.5%  Builtin: CallFunction_ReceiverIsNotNullOrUndefined
   2104    0.5%    2.1%  Stub: CEntryStub
   1788    0.5%    1.8%  Stub: ToObjectStub
   1739    0.4%    1.8%  KeyedLoadIC: A keyed load IC from the snapshot {1}
   1550    0.4%    1.6%  LazyCompile: ~DatabaseBuilder.compare /home/root/node_modules/nosql/index.js:1437:45
   1512    0.4%    1.5%  LazyCompile: *String.isJSONDate /home/root/node_modules/nosql/utils.js:487:39
   1437    0.4%    1.4%  LazyCompile: ~<anonymous> /home/root/node_modules/nosql/utils.js:611:26
   1424    0.4%    1.4%  LazyCompile: *jsonparser /home/root/node_modules/nosql/index.js:2708:20
   1346    0.3%    1.4%  LazyCompile: *bidirectionalIndexOf buffer.js:579:30
   1140    0.3%    1.1%  Builtin: CallFunction_ReceiverIsNullOrUndefined
   1116    0.3%    1.1%  LazyCompile: *Uint8ArrayConstructByArrayBuffer native typedarray.js:144:42
   1039    0.3%    1.0%  Builtin: Construct
   1012    0.3%    1.0%  Handler: newListener
